epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,205.57,0.38958,0.91373,1,0.19968,0.000554705,0.000554705,0.000554705
2,419.961,0.18461,0.83718,1,0.37347,0.00105541,0.00105541,0.00105541
3,589.392,0.13748,0.95747,1,0.09336,0.0015011,0.0015011,0.0015011
4,867.464,0.1238,0.96598,1,0.08547,0.00141945,0.00141945,0.00141945
5,1141.08,0.07043,0.97448,1,0.05628,0.00133693,0.00133693,0.00133693
6,1402.7,0.06532,0.96962,1,0.08531,0.00125442,0.00125442,0.00125442
7,1574.11,0.04485,0.98542,1,0.04539,0.0011719,0.0011719,0.0011719
8,1800.88,0.04942,0.97813,1,0.05049,0.00108938,0.00108938,0.00108938
9,2022.77,0.03981,0.97205,1,0.07984,0.00100687,0.00100687,0.00100687
10,2255.02,0.03345,0.9842,1,0.04335,0.000924352,0.000924352,0.000924352
11,2537.07,0.03165,0.9842,1,0.03755,0.000841835,0.000841835,0.000841835
12,4279.14,0.0234,0.96841,1,0.08077,0.000759318,0.000759318,0.000759318
13,4545.21,0.02286,0.99149,1,0.02131,0.000676802,0.000676802,0.000676802
14,4789.17,0.01655,0.99271,1,0.01528,0.000594286,0.000594286,0.000594286
15,5040.27,0.01795,0.98785,1,0.02626,0.000511769,0.000511769,0.000511769
16,5290.1,0.01561,0.99028,1,0.02174,0.000429253,0.000429253,0.000429253
17,5538.36,0.01302,0.99392,1,0.01667,0.000346736,0.000346736,0.000346736
18,5786.62,0.01208,0.98542,1,0.02759,0.00026422,0.00026422,0.00026422
19,6035.51,0.01107,0.98542,1,0.0312,0.000181703,0.000181703,0.000181703
20,6284.75,0.00861,0.99757,1,0.01097,9.91865e-05,9.91865e-05,9.91865e-05
